Building,Room,M 11:00 AM-11:50 AM,M 12:00 PM-12:50 PM,M 04:00 PM-04:50 PM,"M,W 02:00 PM-03:15 PM","M,W,F 09:00 AM-09:50 AM","M,W,F 10:00 AM-10:50 AM","M,W,F 01:00 PM-01:50 PM","T,Th 09:30 AM-10:45 AM","T,Th 12:30 PM-01:45 PM","T,Th 02:00 PM-03:15 PM",Online
TMCB,120,,,,,,CS 236-1 (Barker),,,,,
TMCB,136,CS 224L-1 (Lab),CS 224L-2 (Lab),CS 110L-1 (110Lab),"CS 404-1 (Gates, Darin)",CS 111L-1 (Lab),CS 111L-3 (Lab),CS 224-1 (Barker),"CS 110-1 (Dougal, Duane)",CS 111L-2 (Lab),"CS 235-1 (Dougal, Duane)",
Online,Online,,,,,,,,,,,CS 240-O (Rodham)
